"Date","Name","Country",
"22 May 2010","Grand Slam Rio de Janeiro 2010","Brazil","View results"
"15 May 2010","World Cup Cairo 2010","Egypt","View results"
"7 May 2010","Grand Prix Tunis 2010","Tunisia","View results"
"22 Apr 2010","European Championships Vienna 2010","Austria","View results"
"22 Apr 2010","Asian Championships Guangzhou 2010","China","View results"
"15 Apr 2010","African Championships Yaounde 2010","Cameroon","View results"
"15 Apr 2010","Oceanian Championships Canaberra 2010","Australia","View results"
"8 Apr 2010","Panamerican Championships San Salvador 2010","El Salvador","View results"
"27 Feb 2010","World Cup Warsaw 2010","Poland","View results"
"27 Feb 2010","World Cup Prague 2010","Czech Republic","View results"
"20 Feb 2010","Grand Prix Dussedorf 2010","Germany","View results"
"13 Feb 2010","World Cup Vienna 2010","Austria","View results"
"13 Feb 2010","World Cup Budapest 2010","Hungary","View results"
"6 Feb 2010","Grand Slam Paris 2010","France","View results"
"30 Jan 2010","World Cup Tbilisi 2010","Georgia","View results"
"30 Jan 2010","World Cup Sofia 2010","Bulgaria","View results"
"16 Jan 2010","Masters Suwon 2010","South Korea","View results"
"11 Dec 2009","Grand Slam Tokyo 2009","Japan","View results"
"4 Dec 2009","World Cup Suwon 2009","South Korea","View results"
"28 Nov 2009","Grand Prix Qingdao 2009","China","View results"
"20 Nov 2009","Grand Prix Abu Dhabi 2009","United Arab Emirates","View results"
"14 Nov 2009","World Cup Apia 2009","Samoa","View results"
"31 Oct 2009","World Cup Ulaanbaatar 2009","Mongolia","View results"
"10 Oct 2009","World Cup Minsk 2009","Belarus","View results"
"10 Oct 2009","World Cup Baku 2009","Azerbaijan","View results"
"19 Sep 2009","World Cup Birmingham 2009","Great Britain","View results"
"26 Aug 2009","World Championships Rotterdam 2009","Netherlands","View results"
"11 Jul 2009","World Cup Belo Horizonte 2009","Brazil","View results"
"4 Jul 2009","Grand Slam Rio de Janeiro 2009","Brazil","View results"
"13 Jun 2009","World Cup Tallin 2009","Estonia","View results"
"13 Jun 2009","World Cup Madrid 2009","Spain","View results"
"6 Jun 2009","World Cup Lisbon 2009","Portugal","View results"
"6 Jun 2009","World Cup Bucharest 2009","Romania","View results"
"30 May 2009","Grand Slam Moscow 2009","Russia","View results"
"9 May 2009","Grand Prix Tunis 2009","Tunisia","View results"
"24 Apr 2009","European Championships Tblisi 2009","Georgia","View results"
"28 Feb 2009","World Cup Prague 2009","Czech Republic","View results"
"28 Feb 2009","World Cup Warsaw 2009","Poland","View results"
"21 Feb 2009","Grand Prix Hamburg 2009","Germany","View results"
"14 Feb 2009","World Cup Budapest 2009","Hungary","View results"
"14 Feb 2009","World Cup Vienna 2009","Austria","View results"
"7 Feb 2009","Grand Slam Paris 2009","France","View results"
"24 Jan 2009","World Cup Tbilisi 2009","Georgia","View results"
"24 Jan 2009","World Cup Sofia 2009","Bulgaria","View results"
"24 Jan 2009","Masters Suwon 2009","South Korea","View inscriptions"
