"Date","Name","Country",
"20 May 2017","Ekaterinburg Grand Slam 2017","Russia","View results"
"13 May 2017","Orenburg Senior European Cup 2017","Russia","View inscriptions"
"13 May 2017","4th Islamic Solidarity Games","Azerbaijan","View inscriptions"
"6 May 2017","Kata European Judo Championships 2017","Malta","View inscriptions"
"29 Apr 2017","Sarajevo Senior European Cup 2017","Bosnia and Herzegovina","View results"
"28 Apr 2017","Oceania Championships Senior 2017","Tonga","View results"
"28 Apr 2017","Pan American Championships Senior 2017","Panama","View results"
"20 Apr 2017","European Championships Seniors 2017","Poland","View results"
"14 Apr 2017","African Championships Seniors 2017","Madagascar","View results"
"14 Apr 2017","African Kata Championships 2017","Madagascar","View inscriptions"
"7 Apr 2017","Antalya Grand Prix 2017","Turkey","View results"
"1 Apr 2017","Dubrovnik Senior European Cup 2017","Croatia","View results"
"31 Mar 2017","Tbilisi Grand Prix 2017","Georgia","View results"
"25 Mar 2017","Lima Pan American Open 2017","Peru","View results"
"18 Mar 2017","Santiago del Chile Pan American Open 2017","Chile","View results"
"18 Mar 2017","Casablanca African Open 2017","Morocco","View results"
"12 Mar 2017","Pordenone EJU Kata Tournament 2017","Italy","View inscriptions"
"11 Mar 2017","Uster-Zurich Senior European Cup 2017","Switzerland","View results"
"11 Mar 2017","Buenos Aires Pan American Open 2017","Argentina","View results"
"10 Mar 2017","Baku Grand Slam 2017","Azerbaijan","View results"
"4 Mar 2017","Prague European Open 2017","Czech Republic","View results"
"4 Mar 2017","Katowice European Open 2017","Poland","View results"
"26 Feb 2017","Brussels EJU Kata Tournament 2017","Belgium","View inscriptions"
"24 Feb 2017","Dusseldorf Grand Prix 2017","Germany","View results"
"18 Feb 2017","Oberwart European Open 2017","Austria","View results"
"18 Feb 2017","Rome European Open 2017","Italy","View results"
"11 Feb 2017","Paris Grand Slam 2017","France","View results"
"4 Feb 2017","Odivelas European Open 2017","Portugal","View results"
"4 Feb 2017","Sofia European Open 2017","Bulgaria","View results"
"14 Jan 2017","Tunis African Open 2017","Tunisia","View results"
"17 Dec 2016","European Club Championships 2016","Serbia","View inscriptions"
"17 Dec 2016","ECC Golden League 2016","Russia","View inscriptions"
"9 Dec 2016","37th World Military Judo Championship","Switzerland","View inscriptions"
"2 Dec 2016","Grand Slam Tokyo 2016","Japan","View results"
"18 Nov 2016","Grand Prix Qingdao 2016","China","View results"
"29 Oct 2016","Senior European Cup Malaga 2016","Spain","View inscriptions"
"28 Oct 2016","Grand Slam Abu Dhabi 2016","United Arab Emirates","View results"
"15 Oct 2016","European Open Glasgow 2016","Great Britain","View results"
"8 Oct 2016","Senior European Cup Belgrade 2016","Serbia","View results"
"6 Oct 2016","Grand Prix Tashkent 2016","Uzbekistan","View results"
"1 Oct 2016","World Kata Championships","Malta","View inscriptions"
"1 Oct 2016","Senior European Cup Tampere 2016","Finland","View results"
"23 Sep 2016","Grand Prix Zagreb 2016","Croatia","View results"
"10 Sep 2016","European Open Tallinn 2016","Estonia","View results"
"8 Sep 2016","Paralympic Games Rio de Janeiro 2016","Brazil","View inscriptions"
"3 Sep 2016","Asian Open Taipei 2016","Chinese Taipei","View results"
"27 Aug 2016","Senior European Cup Germany 2016","Germany","View results"
"6 Aug 2016","Olympic Games Rio de Janeiro 2016","Brazil","View results"
"16 Jul 2016","Grand Slam Tyumen 2016","Russia","View results"
"9 Jul 2016","Senior European Cup Bratislava 2016","Slovakia","View results"
"2 Jul 2016","Pan American Open El Salvador 2016","El Salvador","View results"
"1 Jul 2016","Grand Prix Ulaanbaatar 2016","Mongolia","View results"
"25 Jun 2016","Grand Prix Budapest 2016","Hungary","View results"
"11 Jun 2016","Senior European Cup Podcetrtek 2016","Slovenia","View results"
"4 Jun 2016","European Open Madrid 2016","Spain","View results"
"27 May 2016","Masters 2016","Mexico","View results"
"21 May 2016","Kata European Championships 2016","Italy","View inscriptions"
"14 May 2016","Senior European Cup Orenburg 2016","Russia","View results"
"13 May 2016","Grand Prix Almaty 2016","Kazakhstan","View results"
"6 May 2016","Grand Slam Baku 2016","Azerbaijan","View results"
"29 Apr 2016","Pan American Championships Havana 2016","Cuba","View results"
"21 Apr 2016","European Championships Seniors Kazan 2016","Russia","View results"
"15 Apr 2016","Asian Championships Senior 2016","Uzbekistan","View results"
"8 Apr 2016","African Championships Seniors 2016","Tunisia","View results"
"8 Apr 2016","Oceanian Championships Seniors 2016","Australia","View results"
"8 Apr 2016","African Kata Championships","Tunisia","View inscriptions"
"2 Apr 2016","Senior European Cup Dubrovnik 2016","Croatia","View results"
"2 Apr 2016","EJU Kata Tournament Tours 2016","France","View inscriptions"
"1 Apr 2016","Grand Prix Samsun 2016","Turkey","View results"
"25 Mar 2016","Grand Prix Tbilisi 2016","Georgia","View results"
"19 Mar 2016","Senior European Cup Sarajevo 2016","Bosnia and Herzegovina","View results"
"19 Mar 2016","Pan American Open Santiago de Chile 2016","Chile","View results"
"12 Mar 2016","African Open Casablanca 2016","Morocco","View results"
"12 Mar 2016","EJU Kata Tournament Pordenone 2016","Italy","View inscriptions"
"12 Mar 2016","Pan American Open Buenos Aires 2016","Argentina","View results"
"8 Mar 2016","TEST EVENT RIO 2016","Brazil","View inscriptions"
"5 Mar 2016","Senior European Cup Uster - Z?rich 2016","Switzerland","View results"
"5 Mar 2016","Pan American Open Lima 2016","Peru","View results"
"27 Feb 2016","European Open Prague 2016","Czech Republic","View results"
"27 Feb 2016","European Open Warsaw 2016","Poland","View results"
"21 Feb 2016","EJU Kata Tournament Marcel Clause","Belgium","View inscriptions"
"19 Feb 2016","Grand Prix Dusseldorf 2016","Germany","View results"
"13 Feb 2016","European Open Oberwart 2016","Austria","View results"
"13 Feb 2016","European Open Rome 2016","Italy","View results"
"6 Feb 2016","Grand Slam Paris 2016","France","View results"
"30 Jan 2016","European Open Sofia 2016","Bulgaria","View results"
"22 Jan 2016","Grand Prix Havana 2016","Cuba","View results"
"16 Jan 2016","African Open Tunis 2016","Tunisia","View results"
"19 Dec 2015","European Club Championships 2015","Georgia","View inscriptions"
"19 Dec 2015","ECC Golden League 2015","Austria","View inscriptions"
"4 Dec 2015","Grand Slam Tokyo 2015","Japan","View results"
"26 Nov 2015","Grand Prix Jeju 2015","South Korea","View results"
"20 Nov 2015","Grand Prix Qingdao 2015","China","View results"
"13 Nov 2015","Oceania Open Wollongong 2015","Australia","View results"
"7 Nov 2015","African Open Port-Louis 2015","Mauritius","View results"
"31 Oct 2015","Senior European Cup Malaga 2015","Spain","View results"
"30 Oct 2015","Grand Slam Abu Dhabi 2015","United Arab Emirates","View results"
"24 Oct 2015","Senior European Cup Lund 2015","Sweden","View inscriptions"
"17 Oct 2015","Senior European Cup Dubrovnik 2015","Croatia","View inscriptions"
"17 Oct 2015","Grand Slam Paris 2015","France","View results"
"10 Oct 2015","European Open Glasgow 2015","Great Britain","View results"
"10 Oct 2015","European Open Lisbon 2015","Portugal","View results"
"3 Oct 2015","Senior European Cup Tampere 2015","Finland","View results"
